"TILE_ID","FILTER_ID","REF_TILE_ID","name","RA","DEC","hpix5","ZPT","ERRZPT","CALIB_PROCEDURE","NOISE","NOISE_RMS","ADULEVEL","ADULEVEL_RMS","NCOMBINED","TEXPOSED","EFECTIME","EXPTIME","FWHMG","FWHMG_RMS","FWHM_MIN","FWHM_MAX","FWHM_MEAN","MOFFATBETA_MEAN","ELLIPTICITY_MEAN","PIXSCALE","DATASUM","CHECKSUM","SINGLE_CATALOGUE_DATASUM","DUAL_CATALOGUE_DATASUM","DEPTH2FWHM5S","DEPTH3ARC5S","DEPTHARCSEC2","M50S","KS","M50G","KG","APER_COR_6_0","APER_COR_ERR_6_0","APER_COR_6_0_DUAL","APER_COR_3_0","OBSERVATION_DATES","A_CALIB","B_CALIB","C_CALIB"
87475,5,87487,"1000001-JPLUS-01009-v202202_uJAVA_swp",189.9018,33.2276,2690,21.0182,0.0131,9,0.0574,0.0043,0.003,0.0,3,111.09,107.57,1.0,1.459,0.023,1.3609,1.6495,1.39299,2.46023,0.00384334,0.5556,2675873656,"502be79e33f019253a4d8a9519809a7c",493685513,3494510692,20.784893,20.704535,21.766201,20.689964,6.7137475,20.363667,4.6238017,-0.10281,0.00559987,,"[-2.813163029e-01,-4.080138022e-06, 1.884121511e-10,-3.145874312e-06, 3.794179573e-09,-2.245474929e-13, 1.574469176e-10,-2.010412818e-13, 1.237937492e-17]","2021-04-06T23:40:16 2021-04-06T23:41:19 2021-04-06T23:42:23",3.579e-06,2.192e-06,-0.029143
87476,9,87487,"1000001-JPLUS-01009-v202202_J0430_swp",189.9018,33.2276,2690,21.329,0.0074,9,0.0592,0.0024,0.004,0.0,3,116.91,114.44,1.0,1.437,0.026,1.33568,1.45719,1.35477,2.44159,0.0173529,0.5556,362689865,"ed6cf7e85f8c2b1b3d52ffc9a24d378a",1172871914,1547170210,21.073576,20.96301,22.024675,20.982786,5.998187,20.660233,4.439639,-0.113421,0.00314257,,"[-2.660460354e-01,-1.578416064e-06,-1.874449061e-10,-4.013274175e-06, 2.497613656e-09,-5.239781820e-14, 1.988099667e-10,-1.325013289e-13, 3.909175158e-18]","2021-04-06T23:43:38 2021-04-06T23:44:45 2021-04-06T23:45:51",-1.41e-06,4.857e-06,-0.016179
87477,7,87449,"1000001-JPLUS-00992-v202202_J0395_swp",161.8759,33.2276,1310,20.3328,0.0112,9,0.0302,0.0016,0.001,0.0,3,202.89,202.73,1.0,1.114,0.039,1.05352,1.20388,1.05891,2.90034,0.00902367,0.5556,1481096449,"98d97a23fb7d5113a4b10a81424a6ae9",3646795946,2135027619,21.099878,20.721798,21.783463,20.949932,5.877018,20.54724,4.3713875,-0.0847902,0.00317914,,"[-1.830384586e-01,-8.370933969e-07,-2.187958200e-10, 8.266228625e-07, 1.175639086e-09, 1.545430579e-14,-5.112236370e-11,-2.449249514e-14,-2.426115761e-18]","2022-01-01T05:23:59 2022-01-01T05:25:33 2022-01-01T05:27:07",-1.04e-07,1.689e-06,0.00016
87478,2,87449,"1000001-JPLUS-00992-v202202_gSDSS_swp",161.8759,33.2276,1310,23.6108,0.006,9,0.2435,0.0121,0.025,0.01,3,37.5,37.46,1.0,1.101,0.034,1.01258,1.10472,1.02118,2.99911,0.020638,0.5556,2601294164,"91fe170ffcabee9b1a792a48db54488b",1013485014,4107465456,22.13504,21.717567,22.779234,21.91954,6.791745,21.531116,4.6535974,-0.0893126,0.00189468,,"[-1.707684786e-01,-1.737252685e-06,-9.678815747e-11, 2.223763534e-06, 1.363582254e-09,-5.103609424e-14,-1.499082379e-10,-4.369859272e-14, 1.963398720e-18]","2022-01-01T05:21:59 2022-01-01T05:22:39 2022-01-01T05:23:19",1.367e-06,-5.76e-07,-0.004469
87479,4,87461,"1000001-JPLUS-00999-v202202_zSDSS_swp",173.416,33.2276,7150,22.8124,0.0066,9,0.3809,0.0147,0.011,0.02,3,81.09,80.95,1.0,1.148,0.026,1.0735,1.15331,1.09258,2.45679,0.0152908,0.5556,4215697715,"1e110882fff7ff3515e423ff1c23f404",1261829232,2334585669,20.746883,20.402788,21.464453,20.48465,5.707203,20.123724,4.4017015,-0.130602,0.00257412,,"[-2.131424610e-01,-1.655378712e-06, 4.531466615e-11, 1.889095386e-06,-1.148381201e-10,-1.612432297e-14,-1.521716182e-10, 4.281034783e-14,-5.214623159e-19]","2022-01-02T05:28:36 2022-01-02T05:29:31 2022-01-02T05:30:25",1.369e-06,1.051e-06,-0.010464
91895,2,91892,"1000001-JPLUS-01773-v202202_gSDSS_swp",273.1293,42.9742,3753,23.5115,0.006,9,0.1657,0.0091,0.016,0.02,3,54.09,54.0,1.0,1.038,0.04,1.02267,1.20915,1.09916,6.9538,0.0367505,0.5556,1875960815,"d4c2a9cceea0854c731b95180d480b45",3554757996,2082097043,22.370085,22.032509,23.094173,22.245186,5.888321,21.926128,4.189767,-0.0755283,0.0018466,,"[-1.277186582e-01, 3.369488044e-06,-2.029640719e-10, 2.540446784e-06, 2.694366506e-10,-6.776493124e-15,-1.815199301e-10,-1.609946109e-14, 7.147820828e-19]","2018-09-02T21:48:56 2018-09-02T21:49:41 2018-09-02T21:50:26",7.18e-07,-1.425e-06,0.003577
91896,5,91899,"1000001-JPLUS-01774-v202202_uJAVA_swp",275.0079,42.9742,3756,21.1881,0.0131,9,0.054,0.0028,0.003,0.0,3,120.6,120.34,1.0,1.178,0.021,1.13941,1.24531,1.17887,3.20661,0.0199277,0.5556,4218578650,"0984dfac0ab61c5fe25754451b3f4b75",1337133451,1890309934,21.190393,20.928831,21.990496,21.15351,6.1746078,20.727924,4.329831,-0.0743289,0.00224964,,"[-1.804995965e-01, 4.383946104e-06,-3.307021840e-10, 2.158785212e-06,-5.734612935e-10, 4.376185100e-14,-1.751108217e-10, 2.123559924e-14,-1.414656177e-18]","2018-08-03T21:56:32 2018-08-03T21:57:39 2018-08-03T21:58:46",4.14e-07,2.552e-06,-0.014534
91897,9,91899,"1000001-JPLUS-01774-v202202_J0430_swp",275.0079,42.9742,3756,21.4717,0.0074,9,0.0474,0.0022,0.002,0.0,3,143.79,143.45,1.0,1.161,0.022,1.1237,1.21199,1.13792,3.39206,0.0102291,0.5556,156128945,"7ec4a57513e220f150ec9ecb67e45c58",973885287,1329915636,21.645319,21.34537,22.407034,21.458334,6.525265,21.143335,4.8881907,-0.0816668,0.00145108,,"[-1.693642016e-01, 3.519888174e-06,-3.613714765e-10, 1.830813653e-06,-3.918805506e-10, 5.769683485e-14,-1.329723425e-10, 1.777784591e-14,-2.295362626e-18]","2018-08-03T21:59:54 2018-08-03T22:01:09 2018-08-03T22:02:23",-1.11e-07,1.42e-06,-0.006614
91898,11,91899,"1000001-JPLUS-01774-v202202_J0660_swp",275.0079,42.9742,3756,21.1402,0.0062,9,0.0374,0.0022,0.003,0.0,3,222.0,221.63,1.0,0.987,0.029,0.987485,1.02233,0.987751,6.3776,0.00224335,0.5556,2751947825,"d7dbf9eeb51d5cfffdde0694266eba47",2179755006,1849908064,21.721245,21.267635,22.329302,21.49423,7.52192,21.047812,4.5871625,-0.0818042,0.00250263,,"[-1.179862071e-01,-2.122896384e-06, 9.094181095e-12,-1.004999195e-06, 1.477471589e-09,-6.004726061e-14, 8.548335103e-13,-5.973145539e-14, 2.726417163e-18]","2018-08-03T22:22:02 2018-08-03T22:23:44 2018-08-03T22:25:25",5.28e-07,1.153e-06,-0.007213
90789,12,90791,"1000001-JPLUS-01576-v202202_J0861_swp",268.0,40.1895,2388,21.6759,0.0067,9,0.1419,0.0071,0.007,0.01,3,115.89,115.61,1.0,1.328,0.039,1.17213,1.29635,1.22159,2.83506,0.0171407,0.5556,308465299,"58c1543ddf225077e3f68b56eb7752f4",3868912925,2480858315,20.568773,20.34586,21.407524,20.378601,6.9389462,20.030998,4.5301166,-0.114202,0.00279675,,"[-1.948892951e-01,-1.134066314e-05, 5.140127014e-10,-6.012647042e-06, 4.625464893e-09,-2.860559250e-13, 3.993847198e-10,-2.553827365e-13, 1.559581178e-17]","2018-06-19T00:57:50 2018-06-19T00:58:56 2018-06-19T01:00:01",1.28e-07,5.81e-07,-0.00336
90790,6,90791,"1000001-JPLUS-01576-v202202_J0378_swp",268.0,40.1895,2388,20.5969,0.012,9,0.0329,0.0016,0.002,0.0,3,185.79,185.09,1.0,2.047,0.046,1.79845,1.96803,1.85376,2.36943,0.00528135,0.5556,2340346852,"fd6f89bb54af7e95efd303a7820215af",3039640911,2415155301,20.65192,20.881824,21.943491,20.574865,6.5198183,20.269619,4.6662574,-0.156101,0.00825863,,"[-5.000968915e-01, 1.058187883e-05,-6.234706110e-10, 1.890096367e-05,-6.975485537e-09, 3.032344207e-13,-6.363330792e-10, 3.021116202e-13,-1.380251966e-17]","2018-06-19T01:10:32 2018-06-19T01:12:00 2018-06-19T01:13:30",-7.74e-07,2.53e-06,-0.010303
90791,1,90791,"1000001-JPLUS-01576-v202202_rSDSS_swp",268.0,40.1895,2388,23.6939,0.0056,9,0.2208,0.0113,0.013,0.02,3,62.01,61.94,1.0,1.262,0.026,1.19236,1.27509,1.21966,3.23579,0.00589465,0.5556,937578341,"284710633e77b247e1e180c690fbb0de",3253668717,1039999178,22.115448,21.890818,22.952482,21.966808,6.2946553,21.595142,4.4517145,-0.0954614,0.00230822,-0.0954614 -0.131859 -0.0931573 -0.174032 -0.0741902 -0.156101 -0.170536 -0.0891471 -0.0846162 -0.0966766 -0.145801 -0.114202,"[-1.774713919e-01, 2.384625475e-07,-1.578992775e-10,-3.091149659e-06, 2.101149738e-09,-9.653249218e-14, 3.219342203e-11,-8.183874069e-14, 3.887558982e-18]","2018-06-19T01:07:58 2018-06-19T01:08:45 2018-06-19T01:09:33",-2.137e-06,7.41e-07,0.006736
89695,12,89700,"1000001-JPLUS-01408-v202202_J0861_swp",148.2733,38.7971,1421,21.5504,0.0067,9,0.1359,0.0055,0.009,0.01,3,114.09,114.05,1.0,1.415,0.019,1.32811,1.36832,1.32878,2.38101,0.0106173,0.5556,1275974900,"c61164a3ada8ee96f97cf785474f5e9e",4087437488,1426138537,20.384361,20.252766,21.314432,20.20313,6.504793,19.899279,4.3505664,-0.14099,0.00181868,,"[-2.839183094e-01, 6.325129232e-06,-3.686950770e-10, 9.766925433e-06,-3.242402656e-09, 1.458557817e-13,-5.816414286e-10, 2.015860401e-13,-8.631657661e-18]","2022-01-31T01:23:58 2022-01-31T01:25:05 2022-01-31T01:26:12",-2.25e-07,1.118e-06,-0.004164
